https://account.web3auth.io [200] [] [2199] [Web3Auth] [CloudFront] [3.162.163.18] [cloudfront] [103.696003ms] [Amazon CloudFront,Amazon Web Services,HSTS,HTTP/3,hCaptcha]
https://api-dashboard.web3auth.io [404] [] [19] [] [34.197.173.95] [127.524833ms]
https://api-auth.web3auth.io [404] [] [139] [Error] [] [13.219.41.16] [126.867819ms] [Amazon ALB,Amazon Web Services,HSTS]
https://aeneid.staking.story.foundation [403] [] [5678] [Just a moment...] [cloudflare] [104.18.24.45] [cloudflare] [174.385195ms] [Cloudflare,HSTS]
https://api-wallet.web3auth.io [200] [] [39] [] [54.172.44.9] [186.230964ms] [HSTS]
https://admin.pay.walletconnect.com [302] [https://reown.cloudflareaccess.com/cdn-cgi/access/login/admin.pay.walletconnect.com?kid=2a35436660259cc8f80ef4bfceeb222f4271bcd1163725f29c75413c49ae76e0&meta=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6Ijg3M2I4MTA0OTYxNDU5OWYwNmE1OWM0MWNmMTg5NGE1NGEyMmU1YzkxNzgxNzY1MDZlODdkZWRhYWZiMWM1OTIifQ.eyJ0eXBlIjoibWV0YSIsImF1ZCI6IjJhMzU0MzY2NjAyNTljYzhmODBlZjRiZmNlZWIyMjJmNDI3MWJjZDExNjM3MjVmMjljNzU0MTNjNDlhZTc2ZTAiLCJob3N0bmFtZSI6ImFkbWluLnBheS53YWxsZXRjb25uZWN0LmNvbSIsInJlZGlyZWN0X3VybCI6Ii8iLCJzZXJ2aWNlX3Rva2VuX3N0YXR1cyI6ZmFsc2UsImlzX3dhcnAiOmZhbHNlLCJpc19nYXRld2F5IjpmYWxzZSwiZXhwIjoxNzkwMDk3MjY1LCJuYmYiOjE3OTAwOTY5NjUsImlhdCI6MTc5MDA5Njk2NSwiYXV0aF9zdGF0dXMiOiJOT05FIiwibXRsc19hdXRoIjp7ImNlcnRfaXNzdWVyX2RuIjoiIiwiY2VydF9zZXJpYWwiOiIiLCJjZXJ0X2lzc3Vlcl9za2kiOiIiLCJjZXJ0X3ByZXNlbnRlZCI6ZmFsc2UsImNvbW1vbl9uYW1lIjoiIiwiYXV0aF9zdGF0dXMiOiJOT05FIn0sInJlYWxfY291bnRyeSI6IlVTIiwiYXBwX3Nlc3Npb25faGFzaCI6ImE0MGYxMDZlYzhlZmI4NDkxNzM1YmM4NTUyZGY2YmU5OWI5NjQ4NmNlZDZiZjdkMzZkZGMwOTUwODM5Yjc3NTMifQ.VDYTCON-uccCiNsycr9bho_N7R972yufl222DvijIMAvwwJg5JD_tu9VHmn2be_VRdWmWnAqv4CK8JdnK04jgOSz_msS1CDf2dP4Xe0DBvmzMSJmzeFDxrw5dFiuV9Q8YQkPrNTGEk9Wuzxbe-RxiR8z83SWhthuCy0OchlI19eVvAPHLxRfWenoimYA5cIXA98rcnmqTs7RKpCoPPHCOwxjHAcbgvT2fmX3VlRnqU5L44EFaOwTWKNAt6LiEdpmrnj56i9owQ48r97WiZ1YY3BgE8D20LJrBbKb42bpMaQBb3gzmn1WAkipghicxNFQ-67Mh8_zskuPe3pd0C_5eQ&redirect_url=%2F] [143] [302 Found] [cloudflare] [104.20.35.94] [cloudflare] [208.751287ms] [Cloudflare,HTTP/3]
https://api-passwordless.web3auth.io [404] [] [139] [Error] [] [35.168.239.179] [208.051418ms] [Amazon ALB,Amazon Web Services,HSTS]
https://aeneid.tlv.story.foundation [403] [] [5588] [Just a moment...] [cloudflare] [104.18.24.45] [cloudflare] [247.934548ms] [Cloudflare,HSTS]
https://aeneid.explorer.story.foundation [403] [] [5551] [Just a moment...] [cloudflare] [104.18.24.45] [cloudflare] [272.835373ms] [Cloudflare,HSTS]
https://aeneid.faucet.story.foundation [403] [] [5549] [Just a moment...] [cloudflare] [104.18.24.45] [cloudflare] [303.91819ms] [Cloudflare,HSTS]
https://api.merchant.pay.walletconnect.com [404] [] [13] [cloudflare] [172.66.147.126] [cloudflare] [420.568414ms] [Cloudflare,HSTS,HTTP/3]
https://api.admin.pay.walletconnect.com [302] [https://reown.cloudflareaccess.com/cdn-cgi/access/login/api.admin.pay.walletconnect.com?kid=2a35436660259cc8f80ef4bfceeb222f4271bcd1163725f29c75413c49ae76e0&meta=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6Ijg3M2I4MTA0OTYxNDU5OWYwNmE1OWM0MWNmMTg5NGE1NGEyMmU1YzkxNzgxNzY1MDZlODdkZWRhYWZiMWM1OTIifQ.eyJ0eXBlIjoibWV0YSIsImF1ZCI6IjJhMzU0MzY2NjAyNTljYzhmODBlZjRiZmNlZWIyMjJmNDI3MWJjZDExNjM3MjVmMjljNzU0MTNjNDlhZTc2ZTAiLCJob3N0bmFtZSI6ImFwaS5hZG1pbi5wYXkud2FsbGV0Y29ubmVjdC5jb20iLCJyZWRpcmVjdF91cmwiOiIvIiwic2VydmljZV90b2tlbl9zdGF0dXMiOmZhbHNlLCJpc193YXJwIjpmYWxzZSwiaXNfZ2F0ZXdheSI6ZmFsc2UsImV4cCI6MTc5MDA5NzI2NSwibmJmIjoxNzkwMDk2OTY1LCJpYXQiOjE3OTAwOTY5NjUsImF1dGhfc3RhdHVzIjoiTk9ORSIsIm10bHNfYXV0aCI6eyJjZXJ0X2lzc3Vlcl9kbiI6IiIsImNlcnRfc2VyaWFsIjoiIiwiY2VydF9pc3N1ZXJfc2tpIjoiIiwiY2VydF9wcmVzZW50ZWQiOmZhbHNlLCJjb21tb25fbmFtZSI6IiIsImF1dGhfc3RhdHVzIjoiTk9ORSJ9LCJyZWFsX2NvdW50cnkiOiJVUyIsImFwcF9zZXNzaW9uX2hhc2giOiIyMmQ3ZmVmZmM0ZWNlZjBhYzg1ZmQzODk0MzIxYjEyMzM0NGViOGMyNjk2OTE2ODM5OTU0YzAzZGE0ZWM4OTUzIn0.SnZYVJ4BH51YdV8EBl-_SXDYRbZT3PLodhJTCRKMHOafjbn4eDL2qk71q1vJf5m6aWRTPnyGE_qjRcI-liDeKgDQziii67fI9z5jworyEAcTeOUiv6lh_nzBepHpt4KPxjIUWRpZQ7kduiZK7UGYh6Y_XoV-CVirC74criOVErGgGGQJYg0cNtSNdVuysO0utskav9_ZPwBG5vkrGjGUAm3PExw00p7ukD2iAawNDMhfKnCulVGcVtB4MBRqbni69I1cvLwbiNdha3iHTfQpMYlq06u_sjHJquGCig2BhTRu2qfrQFbjbHTSvRGQOsTNXPfflZfpiMFlPd-6IcCycg&redirect_url=%2F] [143] [302 Found] [cloudflare] [104.20.35.94] [cloudflare] [420.83957ms] [Cloudflare,HTTP/3]
https://api.pay.walletconnect.com [404] [] [0] [] [35.156.52.112] [549.710321ms]
http://api.pr-1013.preview.merchant.pay.walletconnect.com [404] [] [107] [Vercel] [66.33.60.129] [49.694079ms] [Vercel]
https://ap-southeast-1.relay.walletconnect.com [400] [] [43] [] [13.251.49.173] [666.469874ms]
